date,hour,timestamp,country,price
2022/01/07,12:00 - 13:00,2022-01-07 12:00:00,belgium,181.1
2022/01/07,13:00 - 14:00,2022-01-07 13:00:00,belgium,220.94
2022/01/07,14:00 - 15:00,2022-01-07 14:00:00,belgium,218.13
2022/01/07,15:00 - 16:00,2022-01-07 15:00:00,belgium,216.39
2022/01/07,16:00 - 17:00,2022-01-07 16:00:00,belgium,232.33
2022/01/07,17:00 - 18:00,2022-01-07 17:00:00,belgium,244.33
2022/01/07,18:00 - 19:00,2022-01-07 18:00:00,belgium,265.24
2022/01/07,19:00 - 20:00,2022-01-07 19:00:00,belgium,257.69
2022/01/07,20:00 - 21:00,2022-01-07 20:00:00,belgium,250.32
2022/01/07,21:00 - 22:00,2022-01-07 21:00:00,belgium,213.81
2022/01/07,22:00 - 23:00,2022-01-07 22:00:00,belgium,235.59
2022/01/07,23:00 - 00:00,2022-01-07 23:00:00,belgium,230.0
2022/01/08,00:00 - 01:00,2022-01-08 00:00:00,belgium,198.65
2022/01/08,01:00 - 02:00,2022-01-08 01:00:00,belgium,169.75
2022/01/08,02:00 - 03:00,2022-01-08 02:00:00,belgium,166.0
2022/01/08,03:00 - 04:00,2022-01-08 03:00:00,belgium,162.13
2022/01/08,04:00 - 05:00,2022-01-08 04:00:00,belgium,160.0
2022/01/08,05:00 - 06:00,2022-01-08 05:00:00,belgium,154.3
2022/01/08,06:00 - 07:00,2022-01-08 06:00:00,belgium,166.0
2022/01/08,07:00 - 08:00,2022-01-08 07:00:00,belgium,182.91
2022/01/08,08:00 - 09:00,2022-01-08 08:00:00,belgium,215.89
2022/01/08,09:00 - 10:00,2022-01-08 09:00:00,belgium,231.0
2022/01/08,10:00 - 11:00,2022-01-08 10:00:00,belgium,228.95
2022/01/08,11:00 - 12:00,2022-01-08 11:00:00,belgium,215.39
2022/01/08,12:00 - 13:00,2022-01-08 12:00:00,belgium,206.68
2022/01/08,13:00 - 14:00,2022-01-08 13:00:00,belgium,185.0
2022/01/08,14:00 - 15:00,2022-01-08 14:00:00,belgium,169.52
2022/01/08,15:00 - 16:00,2022-01-08 15:00:00,belgium,162.8
2022/01/08,16:00 - 17:00,2022-01-08 16:00:00,belgium,161.82
2022/01/08,17:00 - 18:00,2022-01-08 17:00:00,belgium,189.9
2022/01/08,18:00 - 19:00,2022-01-08 18:00:00,belgium,198.45
2022/01/08,19:00 - 20:00,2022-01-08 19:00:00,belgium,211.52
2022/01/08,20:00 - 21:00,2022-01-08 20:00:00,belgium,127.97
2022/01/08,21:00 - 22:00,2022-01-08 21:00:00,belgium,126.09
2022/01/08,22:00 - 23:00,2022-01-08 22:00:00,belgium,123.94
2022/01/08,23:00 - 00:00,2022-01-08 23:00:00,belgium,94.02
2022/01/09,00:00 - 01:00,2022-01-09 00:00:00,belgium,104.62
2022/01/09,01:00 - 02:00,2022-01-09 01:00:00,belgium,89.43
2022/01/09,02:00 - 03:00,2022-01-09 02:00:00,belgium,80.24
2022/01/09,03:00 - 04:00,2022-01-09 03:00:00,belgium,55.46
2022/01/09,04:00 - 05:00,2022-01-09 04:00:00,belgium,45.82
2022/01/09,05:00 - 06:00,2022-01-09 05:00:00,belgium,48.5
2022/01/09,06:00 - 07:00,2022-01-09 06:00:00,belgium,74.29
2022/01/09,07:00 - 08:00,2022-01-09 07:00:00,belgium,83.17
2022/01/09,08:00 - 09:00,2022-01-09 08:00:00,belgium,97.26
2022/01/09,09:00 - 10:00,2022-01-09 09:00:00,belgium,126.94
2022/01/09,10:00 - 11:00,2022-01-09 10:00:00,belgium,135.57
2022/01/09,11:00 - 12:00,2022-01-09 11:00:00,belgium,146.26
2022/01/09,12:00 - 13:00,2022-01-09 12:00:00,belgium,165.65
2022/01/09,13:00 - 14:00,2022-01-09 13:00:00,belgium,165.06
2022/01/09,14:00 - 15:00,2022-01-09 14:00:00,belgium,170.09
2022/01/09,15:00 - 16:00,2022-01-09 15:00:00,belgium,189.04
2022/01/09,16:00 - 17:00,2022-01-09 16:00:00,belgium,190.96
2022/01/09,17:00 - 18:00,2022-01-09 17:00:00,belgium,223.3
2022/01/09,18:00 - 19:00,2022-01-09 18:00:00,belgium,243.94
2022/01/09,19:00 - 20:00,2022-01-09 19:00:00,belgium,240.0
2022/01/09,20:00 - 21:00,2022-01-09 20:00:00,belgium,230.82
2022/01/09,21:00 - 22:00,2022-01-09 21:00:00,belgium,214.02
2022/01/09,22:00 - 23:00,2022-01-09 22:00:00,belgium,215.88
2022/01/09,23:00 - 00:00,2022-01-09 23:00:00,belgium,203.8
2022/01/10,00:00 - 01:00,2022-01-10 00:00:00,belgium,196.23
2022/01/10,01:00 - 02:00,2022-01-10 01:00:00,belgium,191.85
2022/01/10,02:00 - 03:00,2022-01-10 02:00:00,belgium,195.91
2022/01/10,03:00 - 04:00,2022-01-10 03:00:00,belgium,186.66
2022/01/10,04:00 - 05:00,2022-01-10 04:00:00,belgium,178.04
2022/01/10,05:00 - 06:00,2022-01-10 05:00:00,belgium,191.65
2022/01/10,06:00 - 07:00,2022-01-10 06:00:00,belgium,237.44
2022/01/10,07:00 - 08:00,2022-01-10 07:00:00,belgium,299.95
2022/01/10,08:00 - 09:00,2022-01-10 08:00:00,belgium,313.92
2022/01/10,09:00 - 10:00,2022-01-10 09:00:00,belgium,315.0
2022/01/10,10:00 - 11:00,2022-01-10 10:00:00,belgium,310.41
2022/01/10,11:00 - 12:00,2022-01-10 11:00:00,belgium,310.08
2022/01/10,12:00 - 13:00,2022-01-10 12:00:00,belgium,300.0
2022/01/10,13:00 - 14:00,2022-01-10 13:00:00,belgium,297.01
2022/01/10,14:00 - 15:00,2022-01-10 14:00:00,belgium,299.96
2022/01/10,15:00 - 16:00,2022-01-10 15:00:00,belgium,300.78
2022/01/10,16:00 - 17:00,2022-01-10 16:00:00,belgium,299.63
2022/01/10,17:00 - 18:00,2022-01-10 17:00:00,belgium,313.2
2022/01/10,18:00 - 19:00,2022-01-10 18:00:00,belgium,310.82
2022/01/10,19:00 - 20:00,2022-01-10 19:00:00,belgium,294.98
2022/01/10,20:00 - 21:00,2022-01-10 20:00:00,belgium,267.45
2022/01/10,21:00 - 22:00,2022-01-10 21:00:00,belgium,242.4
2022/01/10,22:00 - 23:00,2022-01-10 22:00:00,belgium,217.03
2022/01/10,23:00 - 00:00,2022-01-10 23:00:00,belgium,197.57
2022/01/11,00:00 - 01:00,2022-01-11 00:00:00,belgium,210.34
2022/01/11,01:00 - 02:00,2022-01-11 01:00:00,belgium,202.42
2022/01/11,02:00 - 03:00,2022-01-11 02:00:00,belgium,197.6
2022/01/11,03:00 - 04:00,2022-01-11 03:00:00,belgium,193.0
2022/01/11,04:00 - 05:00,2022-01-11 04:00:00,belgium,194.9
2022/01/11,05:00 - 06:00,2022-01-11 05:00:00,belgium,204.45
2022/01/11,06:00 - 07:00,2022-01-11 06:00:00,belgium,225.25
2022/01/11,07:00 - 08:00,2022-01-11 07:00:00,belgium,275.35
2022/01/11,08:00 - 09:00,2022-01-11 08:00:00,belgium,281.2
2022/01/11,09:00 - 10:00,2022-01-11 09:00:00,belgium,297.16
2022/01/11,10:00 - 11:00,2022-01-11 10:00:00,belgium,277.02
2022/01/11,11:00 - 12:00,2022-01-11 11:00:00,belgium,257.27
2022/01/11,12:00 - 13:00,2022-01-11 12:00:00,belgium,244.3
2022/01/11,13:00 - 14:00,2022-01-11 13:00:00,belgium,246.58
2022/01/11,14:00 - 15:00,2022-01-11 14:00:00,belgium,255.01
